"btc_total_bitcoins";"btc_market_cap";"btc_hash_rate";"btc_difficulty";"btc_miners_revenue";"btc_transaction_fees";"btc_n_transactions";"btc_estimated_transaction_volume_usd";"btc_trade_volume";"Date";"btc_market_price"
-1.7284553122148418;-0.5079724096277071;-0.45163058921477744;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8504242118869946;-0.46860508838855747;-0.5992279868912186;2009-06-30 00:00:00;0.0
-1.7269563841380775;-0.5079724096277071;-0.451630589215346;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8506058042195725;-0.46860508838855747;-0.5992279868912186;2009-07-02 00:00:00;0.0
-1.7252930574980552;-0.5079724096277071;-0.4516305892147016;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8504242118869946;-0.46860508838855747;-0.5992279868912186;2009-07-04 00:00:00;0.0
-1.7236394013617542;-0.5079724096277071;-0.4516305892146258;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8504028480831619;-0.46860508838855747;-0.5992279868912186;2009-07-06 00:00:00;0.0
-1.7222661898333635;-0.5079724096277071;-0.45163058921508065;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8505310309061581;-0.46860508838855747;-0.5992279868912186;2009-07-08 00:00:00;0.0
-1.720689897726831;-0.5079724096277071;-0.45163058921496696;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.850498985200409;-0.46860508838855747;-0.5992279868912186;2009-07-10 00:00:00;0.0
-1.7191426171314614;-0.5079724096277071;-0.4516305892151944;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8505630766119071;-0.46860508838855747;-0.5992279868912186;2009-07-12 00:00:00;0.0
-1.7177113825807446;-0.5079724096277071;-0.451630589215346;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8506058042195725;-0.46860508838855747;-0.5992279868912186;2009-07-14 00:00:00;0.0
-1.7165992746528227;-0.5079724096277071;-0.45163058921545973;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8506378499253215;-0.46860508838855747;-0.5992279868912186;2009-07-16 00:00:00;0.0
-1.7159416803997907;-0.5079724096277071;-0.45163058921796156;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8513428554518004;-0.46860508838855747;-0.5992279868912186;2009-07-18 00:00:00;0.0
-1.7147135264272162;-0.5079724096277071;-0.4516305892152323;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8505737585138234;-0.46860508838855747;-0.5992279868912186;2009-07-20 00:00:00;0.0
-1.7133306443951046;-0.5079724096277071;-0.45163058921545973;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8506378499253215;-0.46860508838855747;-0.5992279868912186;2009-07-22 00:00:00;0.0
-1.7119671033704353;-0.5079724096277071;-0.4516305892152323;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8505737585138234;-0.46860508838855747;-0.5992279868912186;2009-07-24 00:00:00;0.0
-1.7113288501248454;-0.5079724096277071;-0.45163058921758253;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.851236036432637;-0.46860508838855747;-0.5992279868912186;2009-07-26 00:00:00;0.0
-1.710284435722971;-0.5079724096277071;-0.4516305892164075;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8509048974732302;-0.46860508838855747;-0.5992279868912186;2009-07-28 00:00:00;0.0
-1.7098395925518022;-0.5079724096277071;-0.4516305892175446;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8512039907268879;-0.46860508838855747;-0.5992279868912186;2009-07-30 00:00:00;0.0
-1.709501124921565;-0.5079724096277071;-0.45163058921720345;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8511292174134735;-0.46860508838855747;-0.5992279868912186;2009-08-01 00:00:00;0.0
